image,freshness,temperature
eye-fresh\20210123_162752_resized_cropped_jpg.rf.27b3662210981fe15bc8f0559604f6d8.jpg,fresh,2.36
eye-fresh\20210123_162752_resized_cropped_jpg.rf.94ecab4c583eaf472c3dd6d0b9784b89.jpg,fresh,3.01
eye-fresh\20210123_162752_resized_cropped_jpg.rf.ef6444e25b776dff4ddbc88ac9efa406.jpg,fresh,2.2
eye-fresh\20210123_162757_resized_cropped_jpg.rf.b4da90516a102d61a01e1dbccfe650bb.jpg,fresh,1.23
eye-fresh\20210123_162757_resized_cropped_jpg.rf.b8a77701ec1fccfae0bdc042c443b002.jpg,fresh,2.57
eye-fresh\20210123_162757_resized_cropped_jpg.rf.fb2713c197152dc047761b3ec4a2f3ca.jpg,fresh,2.17
eye-fresh\20210203_125821_resized_cropped_jpg.rf.4bf89ef58bc20005193f45b56285d170.jpg,fresh,0.79
eye-fresh\20210203_125821_resized_cropped_jpg.rf.6731a96e251b101bbed2b94732d74d94.jpg,fresh,1.13
eye-fresh\20210203_125821_resized_cropped_jpg.rf.c96241e8b833044033393716e3085b9b.jpg,fresh,1.34
eye-fresh\20210203_125905_resized_cropped_jpg.rf.7924f1f294b4b2d186151278840393ac.jpg,fresh,1.14
eye-fresh\20210203_125905_resized_cropped_jpg.rf.92c928fcf712f8a21935319d49f45c27.jpg,fresh,1.18
eye-fresh\20210203_125905_resized_cropped_jpg.rf.f253e47294ab773a95e626ee4af30e60.jpg,fresh,2.77
eye-fresh\20210203_125910_resized_cropped_jpg.rf.8535553bb576df3459457f625068eb3f.jpg,fresh,1.83
eye-fresh\20210203_125910_resized_cropped_jpg.rf.ce196e1331c5985d721ff4aa5e33e2fc.jpg,fresh,2.76
eye-fresh\20210203_125910_resized_cropped_jpg.rf.f94879db7d11ce99b545b082a686edd1.jpg,fresh,0.99
eye-fresh\20210203_130926_resized_cropped_jpg.rf.43ad25fbc7aba1b750f227d50644d8e6.jpg,fresh,3.07
eye-fresh\20210203_130926_resized_cropped_jpg.rf.62f577cfdf5e50f16506830ab467fb2a.jpg,fresh,0.75
eye-fresh\20210203_130926_resized_cropped_jpg.rf.d1db26bdc1eee660d506a5cb71b1c3a1.jpg,fresh,2.49
eye-fresh\20210203_130933_resized_cropped_jpg.rf.2123bbce5a9b54de6232036467ca7910.jpg,fresh,0.08
eye-fresh\20210203_130933_resized_cropped_jpg.rf.57a5f6cd0654dfee4690be2f00e8e25b.jpg,fresh,0.11
eye-fresh\20210203_130933_resized_cropped_jpg.rf.ab5f417160057d6e4024b2195951d85e.jpg,fresh,3.45
eye-fresh\20210203_131017_resized_cropped_jpg.rf.142891dc1450fcdafdb826bf06af16c9.jpg,fresh,3.23
eye-fresh\20210203_131017_resized_cropped_jpg.rf.5f17e495ba5617f81cac23c1b2ab69f6.jpg,fresh,1.4
eye-fresh\20210203_131017_resized_cropped_jpg.rf.ed1b9e4ebd0029552b79dc371f7298c8.jpg,fresh,1.92
eye-fresh\20210203_143355_resized_cropped_jpg.rf.3e2c77af0cc5a86238c4a9373a493a04.jpg,fresh,3.35
eye-fresh\20210203_143355_resized_cropped_jpg.rf.570ba9ff308e085d8cf77f60be58d2b8.jpg,fresh,0.09
eye-fresh\20210203_143355_resized_cropped_jpg.rf.ca2794bd28c1fd6762bfb35ac07b889d.jpg,fresh,2.89
eye-fresh\20210203_144311_resized_cropped_jpg.rf.2f36f3403e31256246a6ac5052d496b5.jpg,fresh,1.55
eye-fresh\20210203_144311_resized_cropped_jpg.rf.e531a70b35710073cfd88a250aeb1e68.jpg,fresh,1.21
eye-fresh\20210203_144311_resized_cropped_jpg.rf.e73423453e78c8a11a9f38f8948de206.jpg,fresh,0.37
eye-fresh\20210203_144340_resized_cropped_jpg.rf.5caffb78b021b5c66523cee15d6cb675.jpg,fresh,2.66
eye-fresh\20210203_144340_resized_cropped_jpg.rf.ae495f9256a5b2cab0bf009f792a6deb.jpg,fresh,1.37
eye-fresh\20210203_144340_resized_cropped_jpg.rf.e2d960f4fb821facdb0ada70947b2cd9.jpg,fresh,1.03
eye-fresh\20210203_144347_resized_cropped_jpg.rf.02d0b85a0df30d124b527f0892db141c.jpg,fresh,2.81
eye-fresh\20210203_144347_resized_cropped_jpg.rf.8eb6c55a8999008f0b1611d7515de12d.jpg,fresh,0.68
eye-fresh\20210203_144347_resized_cropped_jpg.rf.a81cd1feb2b48a547f3e9f80564fed7f.jpg,fresh,3.86
eye-fresh\20210203_153649_resized_cropped_jpg.rf.1db693b970bc8255faea8c37c1d113cc.jpg,fresh,3.12
eye-fresh\20210203_153649_resized_cropped_jpg.rf.999c0a9d95054d08a84370c47e99fd36.jpg,fresh,1.55
eye-fresh\20210203_153649_resized_cropped_jpg.rf.ced8813141b352082a91cff21f7444b5.jpg,fresh,1.26
eye-fresh\20210203_154527_resized_cropped_jpg.rf.1505a66767b57429779c037708e816b5.jpg,fresh,2.29
eye-fresh\20210203_154527_resized_cropped_jpg.rf.b8a754417bad778c5924ed5b8dea3182.jpg,fresh,2.89
eye-fresh\20210203_154527_resized_cropped_jpg.rf.fc33f76794e05c6a72c2c65e3f82d141.jpg,fresh,3.54
eye-fresh\20210203_154558_resized_cropped_jpg.rf.41f29b3617d091d4bde656d1339a7152.jpg,fresh,3.21
eye-fresh\20210203_154558_resized_cropped_jpg.rf.4604e9582abfcd1c2cd4c8d4dfcb56f3.jpg,fresh,3.34
eye-fresh\20210203_154558_resized_cropped_jpg.rf.cd6d2e0ef78852aa5d330e0c0a845da8.jpg,fresh,2.58
eye-fresh\IMG_20210123_140729_resized_cropped_jpg.rf.326d9c31fe8e2c6179f04ced55a9eeb7.jpg,fresh,1.8
eye-fresh\IMG_20210123_140729_resized_cropped_jpg.rf.7c46ad1657897e083fb531a1259e2071.jpg,fresh,3.99
eye-fresh\IMG_20210123_140729_resized_cropped_jpg.rf.8e17b132df200b0e24be7664c119118e.jpg,fresh,1.86
eye-fresh\IMG_20210123_140732_resized_cropped_jpg.rf.0ad7f54c146b0abfb9abd139c440ef99.jpg,fresh,3.37
eye-fresh\IMG_20210123_140732_resized_cropped_jpg.rf.b36853eadfa61cdfc8dedde432fa116a.jpg,fresh,2.38
eye-fresh\IMG_20210123_140732_resized_cropped_jpg.rf.eb4387b0da5b6deb13206532c4833257.jpg,fresh,1.71
eye-fresh\IMG_20210123_140755_resized_cropped_jpg.rf.74e482a610d5bbe963175154d88e6566.jpg,fresh,1.43
eye-fresh\IMG_20210123_140755_resized_cropped_jpg.rf.ddba10dd88d3b5f889054ee397ed0dcd.jpg,fresh,2.19
eye-fresh\IMG_20210123_140755_resized_cropped_jpg.rf.de5b31b3e000840a2fb028c74a402c44.jpg,fresh,1.79
eye-fresh\IMG_20210123_140759_resized_cropped_jpg.rf.4d2a977aebb306500d6361c8950600f9.jpg,fresh,1.64
eye-fresh\IMG_20210123_140759_resized_cropped_jpg.rf.8f4a3af505d1139317a4e42fb38c98e4.jpg,fresh,1.2
eye-fresh\IMG_20210123_140759_resized_cropped_jpg.rf.95a52ee088751d89bb8dddb4d6674691.jpg,fresh,3.12
eye-fresh\IMG_20210123_151541_resized_cropped_jpg.rf.46e9304c8c8de29e6dff64b806e22ab9.jpg,fresh,0.43
eye-fresh\IMG_20210123_151541_resized_cropped_jpg.rf.779a48b316bebf9351cda12886d9cea4.jpg,fresh,3.69
eye-fresh\IMG_20210123_151541_resized_cropped_jpg.rf.84dc6769d1abe80dcc6b636cb2fcbc4c.jpg,fresh,0.86
eye-fresh\IMG_20210123_151546_resized_cropped_jpg.rf.2b4258335d9eb35d04072bc933435486.jpg,fresh,1.97
eye-fresh\IMG_20210123_151546_resized_cropped_jpg.rf.55bfee12b37d419c342a111940e1de96.jpg,fresh,0.65
eye-fresh\IMG_20210123_151546_resized_cropped_jpg.rf.abdecf2365190338a78aba310f748cce.jpg,fresh,0.57
eye-fresh\IMG_20210123_151623_resized_cropped_jpg.rf.2cc81b8eb0f531d448b830612e1a5f41.jpg,fresh,3.68
eye-fresh\IMG_20210123_151623_resized_cropped_jpg.rf.7a05ded36d4eda38eceede2dd489af53.jpg,fresh,0.39
eye-fresh\IMG_20210123_151623_resized_cropped_jpg.rf.9abb860079e4f0b2c861e0fe07cd5435.jpg,fresh,1.23
eye-fresh\IMG_20210123_151628_resized_cropped_jpg.rf.048910a610959597d5fbe1c3b18521cd.jpg,fresh,0.86
eye-fresh\IMG_20210123_151628_resized_cropped_jpg.rf.8e93f196f636fd27f619ab5d89255161.jpg,fresh,0.53
eye-fresh\IMG_20210123_151628_resized_cropped_jpg.rf.9f5d97206d47cbd48947ea72c6c156a3.jpg,fresh,2.48
eye-fresh\IMG_20210123_161801_resized_cropped_jpg.rf.0b7f565bdbc71ee61fd8dfa3f412bbec.jpg,fresh,1.91
eye-fresh\IMG_20210123_161801_resized_cropped_jpg.rf.485eea3ea9441dcf59f13f3cc3dcfbd4.jpg,fresh,3.1
eye-fresh\IMG_20210123_161801_resized_cropped_jpg.rf.a49d73bad934fd29a7115d6fc487b7ef.jpg,fresh,0.46
eye-fresh\IMG_20210123_161853_resized_cropped_jpg.rf.0efa75b003df39e86f20abbe093fc84e.jpg,fresh,2.89
